Monday, 25 - 8 - 2025 | 06:30 | Javan Myna (<i>Acridotheres javanicus</i>) | 36 | Talawaan | N 01°31.938' E 124°57.570' | Residential area | Branch | Moving
Monday, 25 - 8 - 2025 | 06:40 | Java Sparrow (<i>Lonchura oryzivora</i>) | 37 | Talawaan | N 01°31.888' E 124°57.778' | Agroforestry | Twig | Resting
Monday, 25 - 8 - 2025 | 07:16 | Javan Myna (<i>Acridotheres javanicus</i>) | 38 | Talawaan | N 01°31.906' E 124°57.584' | Residential area | Branch | Resting
Tuesday, 26 - 8 - 2025 | 05:06 | Sooty-headed Bulbul (<i>Pycnonotus aurigaster</i>) | 39 | Airmadidi | N 01°27.692' E 124°55.802' | Bushes | Branch | Resting
Tuesday, 26 - 8 - 2025 | 05:14 | Javan Myna (<i>Acridotheres javanicus</i>) | 40 | Airmadidi | N 01°27.692' E 124°55.801' | Residential area | Branch | Moving
Tuesday, 26 - 8 - 2026 | 05:25 | Zebra Dove (<i>Geopelia striata</i>) | 41 | Airmadidi | 1.461350, 124.930250 | Residential area | Ground Surface | Exploring
Tuesday, 26 - 8 - 2027 | 05:29 | Zebra Dove (<i>Geopelia striata</i>) | 42 | Airmadidi | 1.461300, 124.930317 | Residential area | Branch | Resting
Tuesday, 26 - 8 - 2028 | 05:38 | Sooty-headed Bulbul (<i>Pycnonotus aurigaster</i>) | 43 | Airmadidi | 1.460100, 124.931717 | Bushes | Twig | Moving
Tuesday, 26 - 8 - 2029 | 06:11 | Javan Myna (<i>Acridotheres javanicus</i>) | 44 | Airmadidi | 1.439050, 124.968500 | Residential area | Branch | Moving
Tuesday, 26 - 8 - 2030 | 06:28 | Spotted Dove (<i>Spilopelia chinensis</i>) | 45 | Airmadidi | 1.455917, 124.937817 | Agroforestry | Ground Surface | Eating
Tuesday, 26 - 8 - 2031 | 06:58 | Sooty-headed Bulbul (<i>Pycnonotus aurigaster</i>) | 46 | Airmadidi | 1.429750, 124.973750 | Agroforestry | Branch | Exploring
Wednesday, 27 - 8 - 2025 | 05:12 | Javan Myna (<i>Acridotheres javanicus</i>) | 47 | Tuminting | 1.509217, 124.843683 | Residential area | Ground Surface | Moving
Wednesday, 27 - 8 - 2025 | 05:18 | Spotted Dove (<i>Spilopelia chinensis</i>) | 48 | Tuminting | 1.515778, 124.844750 | Residential area | Ground Surface | Moving
Wednesday, 27 - 8 - 2025 | 05:22 | Sooty-headed Bulbul (<i>Pycnonotus aurigaster</i>) | 49 | Tuminting | 1.517067, 124.844800 | Residential area | Branch | Moving
Wednesday, 27 - 8 - 2025 | 05:28 | Sooty-headed Bulbul (<i>Pycnonotus aurigaster</i>) | 50 | Tuminting | 1.521583, 125.843583 | Residential area | Branch | Moving
